Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"__CrtIsValidHeapPointer",557,32,1.76,0.10,
"EdgeEntry::push(int)",132,32,0.42,0.10,
"__unlock",127,31,0.40,0.10,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Eos(unsigned int)",85,31,0.27,0.10,
"PushRelabel::push(int,class EdgeEntry *,int)",242,28,0.76,0.09,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Grow(unsigned int,bool)",76,28,0.24,0.09,
"_LocaleUpdate::~_LocaleUpdate(void)",28,28,0.09,0.09,
"std::basic_streambuf<char,struct std::char_traits<char> >::_Gnavail(void)const ",27,27,0.09,0.09,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Myptr(void)const ",27,27,0.09,0.09,
"Graph::getPool(void)",25,25,0.08,0.08,
"std::char_traits<char>::assign(char &,char const &)",25,25,0.08,0.08,
"__nh_malloc_dbg",816,24,2.58,0.08,
"std::basic_ios<char,struct std::char_traits<char> >::rdbuf(void)const ",24,24,0.08,0.08,
"std::char_traits<char>::eq_int_type(int const &,int const &)",24,24,0.08,0.08,
"Graph::getTarget(void)",23,23,0.07,0.07,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::operator+=(char)",257,22,0.81,0.07,
"__read_nolock",21,21,0.07,0.07,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::find_first_of(char const *,unsigned int,unsigned int)const ",65,20,0.21,0.06,
"std::min<int>(int const &,int const &)",36,20,0.11,0.06,
"Node::decExcess(int)",20,20,0.06,0.06,
"_free","1,459",19,4.61,0.06,
"__CrtDefaultAllocHook",19,19,0.06,0.06,
"std::basic_streambuf<char,struct std::char_traits<char> >::snextc(void)",138,18,0.44,0.06,
"std::char_traits<char>::eof(void)",18,18,0.06,0.06,
"Graph::readGraph(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >)","1,421",17,4.49,0.05,
"operator new(unsigned int)",850,17,2.68,0.05,
"__heap_alloc_base",294,17,0.93,0.05,
"[kernel32.dll]",495,16,1.56,0.05,
"std::_Debug_lt<int,int>(int const &,int const &,wchar_t const *,unsigned int)",16,16,0.05,0.05,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::size(void)const ",15,15,0.05,0.05,
"_malloc",835,14,2.64,0.04,
"_nh_malloc_dbg_impl",791,13,2.50,0.04,
"std::_String_val<char,class std::allocator<char> >::~_String_val<char,class std::allocator<char> >(void)",55,13,0.17,0.04,
"std::char_traits<char>::find(char const *,unsigned int,char const &)",21,13,0.07,0.04,
"__CrtIsValidPointer",13,13,0.04,0.04,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::assign(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,unsigned int,unsigned int)",64,12,0.20,0.04,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Chassign(unsigned int,unsigned int,char)",51,11,0.16,0.03,
"std::char_traits<char>::to_int_type(char const &)",10,10,0.03,0.03,
"std::getline<char,struct std::char_traits<char>,class std::allocator<char> >(class std::basic_istream<char,struct std::char_traits<char> > &,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &)",761,9,2.40,0.03,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::substr(unsigned int,unsigned int)const ",115,8,0.36,0.03,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,unsigned int,unsigned int,class std::allocator<char> const &)",100,8,0.32,0.03,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::erase(unsigned int,unsigned int)",22,8,0.07,0.03,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Tidy(bool,unsigned int)",27,7,0.09,0.02,
"_memchr",7,7,0.02,0.02,
"std::basic_istream<char,struct std::char_traits<char> >::_Ipfx(bool)",12,6,0.04,0.02,
"std::basic_istream<char,struct std::char_traits<char> >::_Sentry_base::~_Sentry_base(void)",9,6,0.03,0.02,
"std::allocator<char>::allocator<char>(class std::allocator<char> const &)",6,6,0.02,0.02,
"std::char_traits<char>::to_char_type(int const &)",6,6,0.02,0.02,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::~basic_string<char,struct std::char_traits<char>,class std::allocator<char> >(void)",74,5,0.23,0.02,
"std::_Container_base_secure::~_Container_base_secure(void)",36,5,0.11,0.02,
"std::basic_istream<char,struct std::char_traits<char> >::sentry::sentry(class std::basic_istream<char,struct std::char_traits<char> > &,bool)",24,5,0.08,0.02,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::get_allocator(void)const ",6,5,0.02,0.02,
"Node::getLastEdge(void)",5,5,0.02,0.02,
"std::_Container_base_secure::_Container_base_secure(void)",5,5,0.02,0.02,
"_strtol",247,4,0.78,0.01,
"std::_String_base::~_String_base(void)",42,4,0.13,0.01,
"std::_Traits_helper::copy_s<struct std::char_traits<char> >(char *,unsigned int,char const *,unsigned int)",15,4,0.05,0.01,
"std::locale::facet::_Incref(void)",11,4,0.03,0.01,
"_memcpy_s",7,4,0.02,0.01,
"_strlen",4,4,0.01,0.01,
"EdgeEntry::EdgeEntry(int,int,int,class EdgeEntry *)",4,4,0.01,0.01,
"Graph::getMaxDistance(void)",4,4,0.01,0.01,
"Node::addEdge(class EdgeEntry *)",4,4,0.01,0.01,
"std::_Debug_pointer<char>(char const *,wchar_t const *,unsigned int)",4,4,0.01,0.01,
"std::ctype<char>::widen(char)const ",4,4,0.01,0.01,
"std::basic_ios<char,struct std::char_traits<char> >::widen(char)const ",43,3,0.14,0.01,
"std::_String_val<char,class std::allocator<char> >::_String_val<char,class std::allocator<char> >(class std::allocator<char>)",13,3,0.04,0.01,
"std::basic_istream<char,struct std::char_traits<char> >::sentry::~sentry(void)",12,3,0.04,0.01,
"std::locale::~locale(void)",12,3,0.04,0.01,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::c_str(void)const ",7,3,0.02,0.01,
"std::ios_base::good(void)const ",6,3,0.02,0.01,
"_memcpy",3,3,0.01,0.01,
"EdgeEntry::getFlow(void)",3,3,0.01,0.01,
"std::basic_streambuf<char,struct std::char_traits<char> >::_Lock(void)",3,3,0.01,0.01,
"std::ios_base::rdstate(void)const ",3,3,0.01,0.01,
"_atoi",252,2,0.80,0.01,
"_atol",249,2,0.79,0.01,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::find_first_of(char const *,unsigned int)const ",79,2,0.25,0.01,
"Node::Node(void)",27,2,0.09,0.01,
"std::basic_streambuf<char,struct std::char_traits<char> >::sgetc(void)",27,2,0.09,0.01,
"std::_Traits_helper::copy_s<struct std::char_traits<char> >(char *,unsigned int,char const *,unsigned int,struct std::_Secure_char_traits_tag)",11,2,0.03,0.01,
"std::char_traits<char>::_Copy_s(char *,unsigned int,char const *,unsigned int)",9,2,0.03,0.01,
"PushRelabel::findClosestPushBack(class Node *)",8,2,0.03,0.01,
"std::char_traits<char>::length(char const *)",8,2,0.03,0.01,
"std::basic_istream<char,struct std::char_traits<char> >::_Sentry_base::_Sentry_base(class std::basic_istream<char,struct std::char_traits<char> > &)",7,2,0.02,0.01,
"std::_Traits_helper::move_s<struct std::char_traits<char> >(char *,unsigned int,char const *,unsigned int)",5,2,0.02,0.01,
"_memmove_s",2,2,0.01,0.01,
"EdgeEntry::getCapacity(void)",2,2,0.01,0.01,
"std::basic_istream<char,struct std::char_traits<char> >::sentry::operator bool(void)const ",2,2,0.01,0.01,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::length(void)const ",2,2,0.01,0.01,
"PushRelabel::discharge_back(class Node *)","24,061",1,75.95,0.00,
"std::ios_base::getloc(void)const ",12,1,0.04,0.00,
"std::use_facet<class std::ctype<char> >(class std::locale const &)",12,1,0.04,0.00,
"std::_Allocate<int>(unsigned int,int *)",10,1,0.03,0.00,
"std::locale::facet::_Decref(void)",8,1,0.03,0.00,
"std::_String_base::_String_base(void)",6,1,0.02,0.00,
"std::basic_streambuf<char,struct std::char_traits<char> >::sbumpc(void)",4,1,0.01,0.00,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::at(unsigned int)",3,1,0.01,0.00,
"EdgeEntry::isReverseEdge(void)",2,1,0.01,0.00,
"std::_Mutex::_Unlock(void)",2,1,0.01,0.00,
"std::deque<int,class std::allocator<int> >::_Growmap(unsigned int)",2,1,0.01,0.00,
"__fileno",1,1,0.00,0.00,
"EdgeEntry::setReversed(class EdgeEntry *)",1,1,0.00,0.00,
"fastcopy_I",1,1,0.00,0.00,
"std::_Char_traits_cat<struct std::char_traits<char> >(void)",1,1,0.00,0.00,
"std::_Fill_n<int * *,unsigned int,int *>(int * *,unsigned int,int * const &,struct std::_Range_checked_iterator_tag)",1,1,0.00,0.00,
"std::basic_ios<char,struct std::char_traits<char> >::setstate(int,bool)",1,1,0.00,0.00,
"std::basic_streambuf<char,struct std::char_traits<char> >::_Gninc(void)",1,1,0.00,0.00,
"std::basic_streambuf<char,struct std::char_traits<char> >::gptr(void)const ",1,1,0.00,0.00,
"std::locale::_Getfacet(unsigned int)const ",1,1,0.00,0.00,
"_mainCRTStartup","31,681",0,100.00,0.00,
"__tmainCRTStartup","31,648",0,99.90,0.00,
"_main","31,648",0,99.90,0.00,
"PushRelabel::calc(class Graph *,class Node *)","30,210",0,95.36,0.00,
"PushRelabel::flow(void)","24,065",0,75.96,0.00,
"Graph::Graph(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >)","1,422",0,4.49,0.00,
"Unknown Frame(s)",33,0,0.10,0.00,
"`vector constructor iterator'(void *,unsigned int,int,void * (*)(void *))",27,0,0.09,0.00,
"_fgetc",22,0,0.07,0.00,
"std::_Fgetc<char>(char &,struct _iobuf *)",22,0,0.07,0.00,
"std::basic_filebuf<char,struct std::char_traits<char> >::uflow(void)",22,0,0.07,0.00,
"std::basic_filebuf<char,struct std::char_traits<char> >::underflow(void)",22,0,0.07,0.00,
"__filbuf",21,0,0.07,0.00,
"__read",21,0,0.07,0.00,
"std::locale::locale(class std::locale const &)",11,0,0.03,0.00,
"std::allocator<int>::allocate(unsigned int)",10,0,0.03,0.00,
"operator delete(void *)",8,0,0.03,0.00,
"std::allocator<int>::deallocate(int *,unsigned int)",8,0,0.03,0.00,
"std::deque<int,class std::allocator<int> >::_Tidy(void)",8,0,0.03,0.00,
"std::deque<int,class std::allocator<int> >::~deque<int,class std::allocator<int> >(void)",8,0,0.03,0.00,
"std::queue<int,class std::deque<int,class std::allocator<int> > >::~queue<int,class std::deque<int,class std::allocator<int> > >(void)",8,0,0.03,0.00,
"[SamplingRuntime.dll]",4,0,0.01,0.00,
"std::_Traits_helper::move_s<struct std::char_traits<char> >(char *,unsigned int,char const *,unsigned int,struct std::_Secure_char_traits_tag)",2,0,0.01,0.00,
"std::basic_streambuf<char,struct std::char_traits<char> >::_Unlock(void)",2,0,0.01,0.00,
"std::char_traits<char>::_Move_s(char *,unsigned int,char const *,unsigned int)",2,0,0.01,0.00,
"__VEC_memcpy",1,0,0.00,0.00,
"operator new[](unsigned int)",1,0,0.00,0.00,
"std::_Fill_n<int * *,unsigned int,int *>(int * *,unsigned int,int * const &,struct std::random_access_iterator_tag,struct std::_Range_checked_iterator_tag)",1,0,0.00,0.00,
"std::_Uninit_fill_n<int * *,unsigned int,int *,class std::allocator<int *> >(int * *,unsigned int,int * const &,class std::allocator<int *> &,struct std::_Scalar_ptr_iterator_tag,struct std::_Range_checked_iterator_tag)",1,0,0.00,0.00,
"std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &)",1,0,0.00,0.00,
"stdext::unchecked_fill_n<int * *,unsigned int,int *>(int * *,unsigned int,int * const &)",1,0,0.00,0.00,
"stdext::unchecked_uninitialized_fill_n<int * *,unsigned int,int *,class std::allocator<int *> >(int * *,unsigned int,int * const &,class std::allocator<int *> &)",1,0,0.00,0.00,
